bcr_sample_barcode	bcr_analyte_barcode	a260_a280_ratio	amount	analyte_type	analyte_type_id	bcr_analyte_uuid	concentration	gel_image_file	normal_tumor_genotype_match	pcr_amplification_successful	spectrophotometer_method	well_number	ratio_28s_18s	rinvalue
TCGA-12-0775-10A	TCGA-12-0775-10A-01W	[Pending]	0 uL	Repli-G (Qiagen) DNA	W	9e80d207-69e9-4a7f-a57f-850a43aa8036	.5 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	null	null
TCGA-06-0192-01B	TCGA-06-0192-01B-01D	1.90	295.57 uL	DNA	D	582078dc-88ac-4b84-bd3e-10e256ab927f	0.175 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	Pass	YES	UV Spec	[]	null	null
TCGA-06-0192-01B	TCGA-06-0192-01B-01G	[Pending]	125 uL	GenomePlex (Rubicon) Amplified DNA	G	ef6c1ec6-44ae-433b-a4d8-a984ec1df974	[Completed]	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	[]	[]	null	null
TCGA-06-0192-01B	TCGA-06-0192-01B-01R	1.95	24.8 uL	RNA	R	ddfa0607-e78e-4812-9b18-e27ac7cd85ba	0.113 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	3.0	8.8
TCGA-06-0192-01B	TCGA-06-0192-01B-01T	[Pending]	82 uL	Total RNA	T	5e996180-bc59-4b86-bebf-059d48e0508b	0.100 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	null	null
TCGA-06-0192-01B	TCGA-06-0192-01B-01W	[Pending]	0 uL	Repli-G (Qiagen) DNA	W	6c544589-3494-47a9-bb44-44564d837fde	.5 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	null	null
TCGA-06-0192-10A	TCGA-06-0192-10A-01D	1.90	564.37 uL	DNA	D	621037bd-fb5d-42d5-b93c-224f26f5ada4	0.143 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	Pass	YES	UV Spec	[]	null	null
TCGA-06-0192-10A	TCGA-06-0192-10A-01G	[Pending]	125 uL	GenomePlex (Rubicon) Amplified DNA	G	148538a4-9a47-40f1-9468-26a2d4677069	[Completed]	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	[]	[]	null	null
TCGA-06-0192-10A	TCGA-06-0192-10A-01W	[Pending]	0 uL	Repli-G (Qiagen) DNA	W	ba5b1789-246d-41b3-925e-be829328dcb8	.5 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	null	null
TCGA-12-0653-01A	TCGA-12-0653-01A-01R	1.80	145.9 uL	RNA	R	f1830b9a-9fe8-427e-8f6b-1629c5a2f38f	0.173 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	1.1	7.9
TCGA-12-0653-01A	TCGA-12-0653-01A-01T	[Pending]	34 uL	Total RNA	T	5e2e7bcc-f64c-402e-b4ce-b86abd743e7c	0.100 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	null	null
TCGA-12-0653-01B	TCGA-12-0653-01B-01D	1.90	144.86999999999998 uL	DNA	D	45ebcd08-9a0d-46bb-af14-91993ec37c88	0.177 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	Pass	YES	UV Spec	[]	null	null
TCGA-12-0653-01B	TCGA-12-0653-01B-01W	[Pending]	0 uL	Repli-G (Qiagen) DNA	W	34da88ae-1a49-409d-b7fd-959098e49196	.5 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	null	null
TCGA-12-0653-10A	TCGA-12-0653-10A-01D	1.92	0 uL	DNA	D	63645523-bb46-40b3-899b-c3fa5fefd121	0.173 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	Pass	YES	UV Spec	[]	null	null
TCGA-12-0653-10A	TCGA-12-0653-10A-01W	[Pending]	0 uL	Repli-G (Qiagen) DNA	W	8764defb-bfba-4058-96d7-9a278b78529f	.5 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	null	null
TCGA-06-0169-01A	TCGA-06-0169-01A-01D	1.9	417.03 uL	DNA	D	3ae2ff0b-b3f3-4c67-a670-a0a7e3e59d43	0.14 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	Pass	YES	UV Spec	[]	null	null
TCGA-06-0169-01A	TCGA-06-0169-01A-01R	1.81	40.4 uL	RNA	R	11c889c4-7594-4e16-ab5f-a6d0d403954f	0.131 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	1.6	6.6
TCGA-06-0169-01A	TCGA-06-0169-01A-01T	[Pending]	0 uL	Total RNA	T	73732477-3c2b-4eae-b9cd-8c6c2551a7dc	0.100 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	null	null
TCGA-06-0169-01A	TCGA-06-0169-01A-01W	[Pending]	0 uL	Repli-G (Qiagen) DNA	W	e2c86f63-0ff7-4008-8f19-204d0488bd35	.5 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	null	null
TCGA-06-0169-10A	TCGA-06-0169-10A-01D	1.90	190.7 uL	DNA	D	7d6adc72-93cf-4ac9-953f-1b8ea5a44be9	0.154 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	Pass	YES	UV Spec	[]	null	null
TCGA-06-0169-10A	TCGA-06-0169-10A-01W	[Pending]	0 uL	Repli-G (Qiagen) DNA	W	40c69e24-ad38-463f-bdae-76d2fc611853	.5 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	null	null
TCGA-06-0119-01A	TCGA-06-0119-01A-08D	1.89	0 uL	DNA	D	558557e0-392a-45ce-a2c6-52ac8dbea8c7	.158 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	Pass	YES	UV Spec	[]	null	null
TCGA-06-0119-01A	TCGA-06-0119-01A-08R	1.74	[Not Applicable]	RNA	R	9dc6a695-9cc3-4e4c-b89b-79e52ea2657f	.033 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	2.5	5.8
TCGA-06-0119-01A	TCGA-06-0119-01A-08T	[Pending]	[Not Applicable]	Total RNA	T	f7c0f6a2-2c13-4621-ac3e-9848ce00702a	.01 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	null	null
TCGA-06-0119-01A	TCGA-06-0119-01A-08W	[Pending]	1228 uL	Repli-G (Qiagen) DNA	W	7d3c8bf6-334a-4bc3-bda8-9ca851d107ac	.5 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	null	null
TCGA-06-0119-10A	TCGA-06-0119-10A-01D	1.95	0 uL	DNA	D	38d4497c-a4b7-4858-a42a-cc613b43ebfc	.145 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	Pass	YES	UV Spec	[]	null	null
TCGA-06-0119-10A	TCGA-06-0119-10A-01W	[Pending]	1228 uL	Repli-G (Qiagen) DNA	W	9bb83268-5f91-4625-9381-30ca853a0307	.5 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	null	null
TCGA-06-0171-01A	TCGA-06-0171-01A-01T	[Pending]	2 uL	Total RNA	T	630fedb5-e954-44fe-8d94-7bffba0406d8	0.100 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	null	null
TCGA-06-0171-01A	TCGA-06-0171-01A-02D	1.92	137.7 uL	DNA	D	626e3997-464f-4764-bfc0-1c93e9648362	0.149 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	Pass	YES	UV Spec	[]	null	null
TCGA-06-0171-01A	TCGA-06-0171-01A-02R	1.81	7.7 uL	RNA	R	e685b37b-5b9e-41a8-aad2-d0078c31d53b	0.146 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	1.8	8.0
TCGA-06-0171-01A	TCGA-06-0171-01A-02W	[Pending]	0 uL	Repli-G (Qiagen) DNA	W	f484b001-a4a8-46b0-9b15-299b5c0c3fd6	.5 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	null	null
TCGA-06-0171-02A	TCGA-06-0171-02A-11D	1.9	46.06 uL	DNA	D	f92fa42c-ad2a-4a6a-b1ab-c0db23ac51ce	0.13 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	Pass	NO	UV Spec	[]	null	null
TCGA-06-0171-02A	TCGA-06-0171-02A-11R	[Pending]	46.5 uL	RNA	R	c94995bb-004a-45ce-9a12-f3ae6cdd1527	0.13 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	1.286762	8
TCGA-06-0171-10A	TCGA-06-0171-10A-01D	1.90	441.7 uL	DNA	D	68f66c4a-31b4-45b1-8d1f-ed25ca31c626	0.130 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	Pass	YES	UV Spec	[]	null	null
TCGA-06-0171-10A	TCGA-06-0171-10A-01W	[Pending]	0 uL	Repli-G (Qiagen) DNA	W	dfa5a6d9-a266-4f5a-a924-480b3f8f0074	.5 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	null	null
TCGA-06-0188-01A	TCGA-06-0188-01A-01D	1.90	151.36999999999998 uL	DNA	D	ea11eabb-bffc-41c7-8c08-1364c3321cf1	0.163 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	Pass	YES	UV Spec	[]	null	null
TCGA-06-0188-01A	TCGA-06-0188-01A-01R	1.82	24.9 uL	RNA	R	1d21bc06-8345-4de3-891a-5b8c164a2b27	0.157 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	1.5	7.3
TCGA-06-0188-01A	TCGA-06-0188-01A-01T	[Pending]	29 uL	Total RNA	T	a2ea6d4e-596a-4352-9a47-e6df8bed4476	0.100 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	null	null
TCGA-06-0188-01A	TCGA-06-0188-01A-01W	[Pending]	0 uL	Repli-G (Qiagen) DNA	W	722a2497-818c-4bb0-acd4-8c93e8187d4e	.5 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	null	null
TCGA-06-0188-10B	TCGA-06-0188-10B-01D	1.90	681.37 uL	DNA	D	f6b6b689-0d48-4a70-8f11-cfb0ba5adb5d	0.140 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	Pass	YES	UV Spec	[]	null	null
TCGA-06-0188-10B	TCGA-06-0188-10B-01W	[Pending]	0 uL	Repli-G (Qiagen) DNA	W	5dceddc3-abf6-4baa-b7ad-3ed513683168	.5 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	null	null
TCGA-06-0168-01A	TCGA-06-0168-01A-01D	1.89	6.699999999999999 uL	DNA	D	d9c439fc-3836-4064-a956-89b088be703e	0.146 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	Pass	YES	UV Spec	[]	null	null
TCGA-06-0168-01A	TCGA-06-0168-01A-01R	1.79	6.400000000000006 uL	RNA	R	54dd0ee5-da67-4e9b-b6f7-063ae61bd1e0	0.173 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	1.6	8.3
TCGA-06-0168-01A	TCGA-06-0168-01A-01T	[Pending]	0 uL	Total RNA	T	9a22fc0b-eb14-4521-8462-bf4549bc63e5	0.100 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	null	null
TCGA-06-0168-01A	TCGA-06-0168-01A-01W	[Pending]	0 uL	Repli-G (Qiagen) DNA	W	76f38b06-8fc0-4159-9b4b-2b56e91c416f	.5 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	null	null
TCGA-06-0168-01A	TCGA-06-0168-01A-02D	1.89	[Not Applicable]	DNA	D	903f4722-da82-40be-80b1-1f90555a30d1	.167 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	Pass	YES	UV Spec	[]	null	null
TCGA-06-0168-01A	TCGA-06-0168-01A-02R	1.8	[Not Applicable]	RNA	R	946f9b1f-e4e2-4891-96bb-7dc412055d6e	.165 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	1.2	8.1
TCGA-06-0168-01A	TCGA-06-0168-01A-02T	[Pending]	[Not Applicable]	Total RNA	T	e392c1da-7b8a-46f8-86b5-a76734fb0274	.1 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	null	null
TCGA-06-0168-01A	TCGA-06-0168-01A-02W	[Pending]	0 uL	Repli-G (Qiagen) DNA	W	fd58db38-a5f9-4a98-80ee-e3dd0cfda36e	.5 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	null	null
TCGA-06-0168-10A	TCGA-06-0168-10A-01D	1.80	52.7 uL	DNA	D	35f8e2c9-985d-4c30-b8d3-274d26eeabbb	0.186 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	Pass	YES	UV Spec	[]	null	null
TCGA-06-0168-10A	TCGA-06-0168-10A-01W	[Pending]	0 uL	Repli-G (Qiagen) DNA	W	105482e0-6bb4-477b-8a4a-be887ae29782	.5 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	null	null
TCGA-06-0160-01A	TCGA-06-0160-01A-01D	1.9	0 uL	DNA	D	27d31344-be63-4650-894b-b7884983edb7	.196 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	Pass	YES	UV Spec	[]	null	null
TCGA-06-0160-01A	TCGA-06-0160-01A-01R	1.8	[Not Applicable]	RNA	R	8e928ed9-516f-49bc-ad3b-282e9e34f650	.152 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	1.3	7.4
TCGA-06-0160-01A	TCGA-06-0160-01A-01T	[Pending]	[Not Applicable]	Total RNA	T	1d0e357a-a19e-491a-acd1-caf7438a5e98	.1 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	null	null
TCGA-06-0160-01A	TCGA-06-0160-01A-01W	[Pending]	0 uL	Repli-G (Qiagen) DNA	W	33ec5217-5971-4478-a35f-1954c76f1e52	.5 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	null	null
TCGA-06-0160-10A	TCGA-06-0160-10A-01D	1.89	0 uL	DNA	D	02ebdcda-634d-479b-bc3f-64b64fb06d4e	.104 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	Pass	YES	UV Spec	[]	null	null
TCGA-06-0160-10A	TCGA-06-0160-10A-01W	[Pending]	0 uL	Repli-G (Qiagen) DNA	W	8883941c-7830-437a-af48-ed2fb49dbea4	.5 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	null	null
TCGA-06-0174-01A	TCGA-06-0174-01A-01D	1.90	398.7 uL	DNA	D	32f2f1b2-7def-487c-8055-c1670d952f34	0.148 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	Pass	YES	UV Spec	[]	null	null
TCGA-06-0174-01A	TCGA-06-0174-01A-01R	1.81	35.400000000000006 uL	RNA	R	dcd5a552-1509-49ea-b6e4-2d5f18f7bf83	0.147 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	1.5	8.5
TCGA-06-0174-01A	TCGA-06-0174-01A-01T	[Pending]	7 uL	Total RNA	T	9aaea393-8ea4-41d2-a0fc-e2ccb6e0cabd	0.100 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	null	null
TCGA-06-0174-01A	TCGA-06-0174-01A-01W	[Pending]	0 uL	Repli-G (Qiagen) DNA	W	f5dbd61d-434a-462c-be24-ceb50bb10694	.5 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	null	null
TCGA-06-0174-10B	TCGA-06-0174-10B-01D	1.91	208.7 uL	DNA	D	3c749e5f-1340-4372-813a-acaea1e34438	0.163 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	Pass	YES	UV Spec	[]	null	null
TCGA-06-0174-10B	TCGA-06-0174-10B-01W	[Pending]	0 uL	Repli-G (Qiagen) DNA	W	714cc6f9-5582-475b-bbbc-072fb8710dcc	.5 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	null	null
TCGA-06-0157-01A	TCGA-06-0157-01A-01D	1.89	331.7 uL	DNA	D	04b88b32-afd2-4c48-b4e8-5723b36723de	0.150 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	Pass	YES	UV Spec	[]	null	null
TCGA-06-0157-01A	TCGA-06-0157-01A-01R	1.80	62.8 uL	RNA	R	f7e1065b-0e37-4b21-acc7-71fee2a4c087	0.189 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	1.2	8.1
TCGA-06-0157-01A	TCGA-06-0157-01A-01T	[Pending]	31 uL	Total RNA	T	bb16a3cb-3b12-4184-b360-b4378c5ffd8e	0.100 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	null	null
TCGA-06-0157-01A	TCGA-06-0157-01A-01W	[Pending]	0 uL	Repli-G (Qiagen) DNA	W	0f073062-19a8-4b61-b50a-c7737129f6c7	.5 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	null	null
TCGA-06-0157-10A	TCGA-06-0157-10A-01D	1.90	241.7 uL	DNA	D	8f89a9dd-3422-4f05-9b57-32bebcf28e5b	0.181 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	Pass	YES	UV Spec	[]	null	null
TCGA-06-0157-10A	TCGA-06-0157-10A-01W	[Pending]	0 uL	Repli-G (Qiagen) DNA	W	7a7c0a0e-69cf-422f-988f-8f2f00353eed	.5 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	null	null
TCGA-06-0209-01A	TCGA-06-0209-01A-01D	1.89	446.7 uL	DNA	D	9fcca334-0335-4f18-99a8-1ec7df4111a2	0.173 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	Pass	YES	UV Spec	[]	null	null
TCGA-06-0209-01A	TCGA-06-0209-01A-01R	1.80	0 uL	RNA	R	86c8d4cb-259f-41eb-a917-36ab431380e4	0.072 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	0.0	1.0
TCGA-06-0209-01A	TCGA-06-0209-01A-01T	[Pending]	0 uL	Total RNA	T	88446825-53fe-46ed-82ce-0a6b90c46439	0.100 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	null	null
TCGA-06-0209-01A	TCGA-06-0209-01A-01W	[Pending]	0 uL	Repli-G (Qiagen) DNA	W	b5446658-8d74-40ea-9fe1-848ab8d1c957	.5 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	null	null
TCGA-06-0209-10A	TCGA-06-0209-10A-01D	1.90	0 uL	DNA	D	fcb91115-399e-4e5c-822d-cc3508d9045d	0.167 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	Pass	YES	UV Spec	[]	null	null
TCGA-06-0209-10A	TCGA-06-0209-10A-01W	[Pending]	0 uL	Repli-G (Qiagen) DNA	W	532fbf3a-e336-486e-88aa-f4a08453618f	.5 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	null	null
TCGA-06-0211-01A	TCGA-06-0211-01A-01D	1.88	4.699999999999999 uL	DNA	D	b507ce40-e917-4107-bcf7-5f65d3f1b55b	0.172 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	Pass	YES	UV Spec	[]	null	null
TCGA-06-0211-01A	TCGA-06-0211-01A-01R	1.81	80.3 uL	RNA	R	442d1075-0874-4b84-a673-a500251577da	0.190 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	1.7	9.4
TCGA-06-0211-01A	TCGA-06-0211-01A-01T	[Pending]	17 uL	Total RNA	T	aaeeed68-6742-4251-a4bc-09d42f8c4a5d	0.100 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	null	null
TCGA-06-0211-01A	TCGA-06-0211-01A-01W	[Pending]	0 uL	Repli-G (Qiagen) DNA	W	28bb9628-210c-4e18-be9e-b1f71a3d6ced	.5 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	null	null
TCGA-06-0211-01B	TCGA-06-0211-01B-01D	1.89	519.7 uL	DNA	D	f8534274-0861-422f-8697-9572be606b3f	.177 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	Pass	YES	UV Spec	[]	null	null
TCGA-06-0211-01B	TCGA-06-0211-01B-01R	1.81	129.39999999999998 uL	RNA	R	5ee792d6-20e4-4000-8357-734b0969ce9b	.186 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	1.6	9.4
TCGA-06-0211-01B	TCGA-06-0211-01B-01T	[Pending]	29 uL	Total RNA	T	07ded71f-9b9e-4992-a36c-03394f6ce9b7	0.10 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	null	null
TCGA-06-0211-01B	TCGA-06-0211-01B-01W	[Pending]	0 uL	Repli-G (Qiagen) DNA	W	e5ae4b44-3c24-46a7-ae65-91da369996fe	.5 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	null	null
TCGA-06-0211-02A	TCGA-06-0211-02A-02D	1.9	0 uL	DNA	D	a57cc318-3224-41f0-9a92-b3f010df341e	0.16 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	Pass	YES	UV Spec	[]	null	null
TCGA-06-0211-02A	TCGA-06-0211-02A-02R	1.8	0 uL	RNA	R	29cd3a6f-0742-4837-80bb-e2739f6f75f6	0.16 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	1.3	8.5
TCGA-06-0211-10A	TCGA-06-0211-10A-01D	1.84	12.7 uL	DNA	D	f37b3486-b71d-4a2f-9e53-96ecd11eff98	0.181 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	Pass	YES	UV Spec	[]	null	null
TCGA-06-0211-10A	TCGA-06-0211-10A-01W	[Pending]	0 uL	Repli-G (Qiagen) DNA	W	89950671-f0b9-491e-8fcf-6ce9d812ae5b	.5 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	null	null
TCGA-06-0166-01A	TCGA-06-0166-01A-01D	1.89	136.7 uL	DNA	D	748d104d-0802-4aee-9c56-ef096bef3786	0.145 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	Pass	YES	UV Spec	[]	null	null
TCGA-06-0166-01A	TCGA-06-0166-01A-01G	[Pending]	491.70000000000005 uL	GenomePlex (Rubicon) Amplified DNA	G	327be148-6fc2-4b64-bbe5-481252d861ae	.5 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	null	null
TCGA-06-0166-01A	TCGA-06-0166-01A-01R	1.81	8.2 uL	RNA	R	5d8af778-0538-4bef-be5d-d4f4010c6c35	0.152 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	1.3	7.8
TCGA-06-0166-01A	TCGA-06-0166-01A-01T	[Pending]	17 uL	Total RNA	T	615ef3fc-9a37-4491-b6ad-2e77d43830ce	0.100 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	null	null
TCGA-06-0166-01A	TCGA-06-0166-01A-01W	[Pending]	0 uL	Repli-G (Qiagen) DNA	W	43c8627d-7cbd-4c72-825b-0c4566ed3d5f	.5 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	null	null
TCGA-06-0166-10A	TCGA-06-0166-10A-01D	1.86	318.7 uL	DNA	D	ce6dbe52-f496-4a88-98df-8f88b4533e6a	0.161 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	Pass	YES	UV Spec	[]	null	null
TCGA-06-0166-10A	TCGA-06-0166-10A-01G	[Pending]	491.70000000000005 uL	GenomePlex (Rubicon) Amplified DNA	G	ba23485c-ec1a-43bf-a376-e6dd7655b875	.5 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	null	null
TCGA-06-0166-10A	TCGA-06-0166-10A-01W	[Pending]	0 uL	Repli-G (Qiagen) DNA	W	5add41e0-f755-4484-9db2-e57ab0fba699	.5 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	null	null
TCGA-06-0151-01A	TCGA-06-0151-01A-01D	1.88	0 uL	DNA	D	0049f446-9d53-4bdc-9ca7-60ed9e2d86e2	.157 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	Pass	YES	UV Spec	[]	null	null
TCGA-06-0151-01A	TCGA-06-0151-01A-01R	1.81	[Not Applicable]	RNA	R	99d64294-8440-40ff-af9b-3ebbeeeb1c40	.041 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	1.8	7.3
TCGA-06-0151-01A	TCGA-06-0151-01A-01T	[Pending]	[Not Applicable]	Total RNA	T	2a589611-a28e-499e-8675-60e7debb100c	.1 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	null	null
